+-----+------+-------+-----+----------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id  | year | month | day |        street        |                                                                                                       description                                                                                                        |
| 222 | 2021 | 6     | 20  | Widenius Street      | Shoplifting took place at 21:01. Two people witnessed the event.                                                                                                                                                         |
| 223 | 2021 | 6     | 20  | Bowden Boulevard     | Credit card fraud took place at 05:16. No known witnesses.                                                                                                                                                               |
| 224 | 2021 | 6     | 20  | Zlatkova Street      | Burglary took place at 09:09. No known witnesses.                                                                                                                                                                        |
| 225 | 2021 | 6     | 20  | Chartier Road        | Bank robbery took place at 23:14. One person witnessed the incident.                                                                                                                                                     |
| 226 | 2021 | 6     | 20  | Widenius Street      | Expired parking meter took place at 14:06. No known witnesses.                                                                                                                                                           |
| 227 | 2021 | 6     | 21  | Codd Street          | Money laundering took place at 00:25. No known witnesses.                                                                                                                                                                |
| 228 | 2021 | 6     | 22  | Lloyd Lane           | Forgery took place at 08:14. No known witnesses.                                                                                                                                                                         |
| 229 | 2021 | 6     | 22  | Boyce Avenue         | Bank robbery took place at 01:09. One person witnessed the incident.                                                                                                                                                     |
| 230 | 2021 | 6     | 22  | Boyce Avenue         | Wire fraud took place at 18:41. Two people witnessed the event.                                                                                                                                                          |
| 231 | 2021 | 6     | 22  | Bowden Boulevard     | Burglary took place at 23:48. No known witnesses.                                                                                                                                                                        |
| 232 | 2021 | 6     | 23  | Boyce Avenue         | Littering took place at 17:48. Two people witnessed the event.                                                                                                                                                           |
| 233 | 2021 | 6     | 24  | Codd Street          | Reckless driving took place at 20:55. Two people witnessed the event.                                                                                                                                                    |
| 234 | 2021 | 6     | 25  | Aydede Lane          | Burglary took place at 20:25. No known witnesses.                                                                                                                                                                        |
| 235 | 2021 | 6     | 25  | Humphrey Lane        | Shoplifting took place at 19:17. No known witnesses.                                                                                                                                                                     |
| 236 | 2021 | 6     | 26  | Boyce Avenue         | Reckless driving took place at 01:45. Two people witnessed the event.                                                                                                                                                    |
| 237 | 2021 | 6     | 26  | Blumberg Boulevard   | Jaywalking took place at 17:02. One person witnessed the incident.                                                                                                                                                       |
| 238 | 2021 | 6     | 27  | Carreiro Avenue      | Vandalism took place at 06:37. No known witnesses.                                                                                                                                                                       |
| 239 | 2021 | 6     | 28  | MacWilliam Road      | Vandalism took place at 09:45. One person witnessed the incident.                                                                                                                                                        |
| 240 | 2021 | 6     | 28  | Larsson Lane         | Expired parking meter took place at 13:44. One person witnessed the incident.                                                                                                                                            |
| 241 | 2021 | 7     | 1   | Chamberlin Street    | Vandalism took place at 18:46. Two people witnessed the event.                                                                                                                                                           |
| 242 | 2021 | 7     | 1   | Bowden Boulevard     | Insider trading took place at 15:44. One person witnessed the incident.                                                                                                                                                  |
| 243 | 2021 | 7     | 1   | Yamashita Avenue     | Wire fraud took place at 07:41. Two people witnessed the event.                                                                                                                                                          |
| 244 | 2021 | 7     | 1   | Blumberg Boulevard   | Shoplifting took place at 12:04. Two people witnessed the event.                                                                                                                                                         |
| 245 | 2021 | 7     | 2   | Daboin Sanchez Drive | Bank robbery took place at 04:36. Two people witnessed the event.                                                                                                                                                        |
| 246 | 2021 | 7     | 2   | Lloyd Lane           | Credit card fraud took place at 10:54. Two people witnessed the event.                                                                                                                                                   |
| 247 | 2021 | 7     | 3   | Zlatkova Street      | Credit card fraud took place at 02:10. Two people witnessed the event.                                                                                                                                                   |
| 248 | 2021 | 7     | 3   | Chamberlin Street    | Bank robbery took place at 15:10. No known witnesses.                                                                                                                                                                    |
| 249 | 2021 | 7     | 4   | Codd Street          | Expired parking meter took place at 11:46. No known witnesses.                                                                                                                                                           |
| 250 | 2021 | 7     | 4   | Hipp Boulevard       | Theft took place at 17:00. Two people witnessed the event.                                                                                                                                                               |
| 251 | 2021 | 7     | 4   | Larsson Lane         | Jaywalking took place at 18:14. Two people witnessed the event.                                                                                                                                                          |
| 252 | 2021 | 7     | 4   | Chartier Road        | Forgery took place at 19:46. No known witnesses.                                                                                                                                                                         |
| 253 | 2021 | 7     | 5   | Carvalho Road        | Bank robbery took place at 01:34. No known witnesses.                                                                                                                                                                    |
| 254 | 2021 | 7     | 6   | Humphrey Street      | Shoplifting took place at 04:45. Two people witnessed the event.                                                                                                                                                         |
| 255 | 2021 | 7     | 6   | Chartier Road        | Bank robbery took place at 06:30. Two people witnessed the event.                                                                                                                                                        |
| 256 | 2021 | 7     | 8   | Lloyd Lane           | Vandalism took place at 14:48. No known witnesses.                                                                                                                                                                       |
| 257 | 2021 | 7     | 8   | Widenius Street      | Insider trading took place at 22:18. No known witnesses.                                                                                                                                                                 |
| 258 | 2021 | 7     | 8   | Bowden Boulevard     | Jaywalking took place at 10:35. One person witnessed the incident.                                                                                                                                                       |
| 259 | 2021 | 7     | 8   | Bowden Boulevard     | Theft took place at 01:44. One person witnessed the incident.                                                                                                                                                            |
| 260 | 2021 | 7     | 10  | Carreiro Avenue      | Vandalism took place at 09:20. Two people witnessed the event.                                                                                                                                                           |
| 261 | 2021 | 7     | 10  | Axmark Road          | Insider trading took place at 01:07. One person witnessed the incident.                                                                                                                                                  |
| 262 | 2021 | 7     | 10  | Zlatkova Street      | Expired parking meter took place at 10:04. No known witnesses.                                                                                                                                                           |
| 263 | 2021 | 7     | 10  | Carreiro Avenue      | Reckless driving took place at 20:43. Two people witnessed the event.                                                                                                                                                    |
| 264 | 2021 | 7     | 10  | Boyce Avenue         | Wire fraud took place at 14:36. Two people witnessed the event.                                                                                                                                                          |
| 265 | 2021 | 7     | 12  | Daboin Sanchez Drive | Littering took place at 08:31. No known witnesses.                                                                                                                                                                       |
| 266 | 2021 | 7     | 13  | Daboin Sanchez Drive | Jaywalking took place at 13:33. No known witnesses.                                                                                                                                                                      |
| 267 | 2021 | 7     | 13  | Axmark Road          | Jaywalking took place at 07:51. Two people witnessed the event.                                                                                                                                                          |
| 268 | 2021 | 7     | 14  | MacWilliam Road      | Wire fraud took place at 10:20. No known witnesses.                                                                                                                                                                      |
| 269 | 2021 | 7     | 15  | Yamashita Avenue     | Burglary took place at 07:18. One person witnessed the incident.                                                                                                                                                         |
| 270 | 2021 | 7     | 15  | Fifer Street         | Jaywalking took place at 07:03. One person witnessed the incident.                                                                                                                                                       |
| 271 | 2021 | 7     | 16  | Lloyd Lane           | Reckless driving took place at 20:31. One person witnessed the incident.                                                                                                                                                 |
| 272 | 2021 | 7     | 16  | Larsson Lane         | Credit card fraud took place at 10:46. Two people witnessed the event.                                                                                                                                                   |
| 273 | 2021 | 7     | 17  | Zlatkova Street      | Burglary took place at 11:43. Two people witnessed the event.                                                                                                                                                            |
| 274 | 2021 | 7     | 17  | Aydede Lane          | Expired parking meter took place at 15:55. No known witnesses.                                                                                                                                                           |
| 275 | 2021 | 7     | 17  | Stonebraker Road     | Wire fraud took place at 17:16. No known witnesses.                                                                                                                                                                      |
| 276 | 2021 | 7     | 18  | Lloyd Lane           | Vandalism took place at 21:09. No known witnesses.                                                                                                                                                                       |
| 277 | 2021 | 7     | 18  | MacWilliam Road      | Bank robbery took place at 22:33. Two people witnessed the event.                                                                                                                                                        |
| 278 | 2021 | 7     | 19  | Bowden Boulevard     | Theft took place at 21:21. One person witnessed the incident.                                                                                                                                                            |
| 279 | 2021 | 7     | 19  | Yamashita Avenue     | Expired parking meter took place at 19:39. Two people witnessed the event.                                                                                                                                               |
| 280 | 2021 | 7     | 21  | Daboin Sanchez Drive | Burglary took place at 21:54. One person witnessed the incident.                                                                                                                                                         |
| 281 | 2021 | 7     | 21  | Carreiro Avenue      | Expired parking meter took place at 14:59. One person witnessed the incident.                                                                                                                                            |
| 282 | 2021 | 7     | 22  | Bowden Boulevard     | Bank robbery took place at 07:16. One person witnessed the incident.                                                                                                                                                     |
| 283 | 2021 | 7     | 22  | Daboin Sanchez Drive | Insider trading took place at 18:58. No known witnesses.                                                                                                                                                                 |
| 284 | 2021 | 7     | 23  | Daboin Sanchez Drive | Burglary took place at 12:03. No known witnesses.                                                                                                                                                                        |
| 285 | 2021 | 7     | 23  | Guimaraes Drive      | Money laundering took place at 10:30. One person witnessed the incident.                                                                                                                                                 |
| 286 | 2021 | 7     | 25  | Axmark Road          | Expired parking meter took place at 06:24. Two people witnessed the event.                                                                                                                                               |
| 287 | 2021 | 7     | 25  | Carvalho Road        | Credit card fraud took place at 18:10. No known witnesses.                                                                                                                                                               |
| 288 | 2021 | 7     | 26  | Chartier Road        | Jaywalking took place at 05:27. One person witnessed the incident.                                                                                                                                                       |
| 289 | 2021 | 7     | 26  | Chartier Road        | Expired parking meter took place at 10:36. One person witnessed the incident.                                                                                                                                            |
| 290 | 2021 | 7     | 27  | Axmark Road          | Money laundering took place at 17:47. Two people witnessed the event.                                                                                                                                                    |
| 291 | 2021 | 7     | 27  | Stonebraker Road     | Wire fraud took place at 23:58. Two people witnessed the event.                                                                                                                                                          |
| 292 | 2021 | 7     | 27  | Fifer Street         | Shoplifting took place at 05:51. No known witnesses.                                                                                                                                                                     |
| 293 | 2021 | 7     | 28  | Axmark Road          | Vandalism took place at 12:04. No known witnesses.                                                                                                                                                                       |
| 294 | 2021 | 7     | 28  | Boyce Avenue         | Shoplifting took place at 03:01. Two people witnessed the event.                                                                                                                                                         |
| 295 | 2021 | 7     | 28  | Humphrey Street      | Theft of the CS50 duck took place at 10:15am at the Humphrey Street bakery. Interviews were conducted today with three witnesses who were present at the time – each of their interview transcripts mentions the bakery. |
| 296 | 2021 | 7     | 28  | Widenius Street      | Money laundering took place at 20:30. No known witnesses.                                                                                                                                                                |
| 297 | 2021 | 7     | 28  | Humphrey Street      | Littering took place at 16:36. No known witnesses.                                                                                                                                                                       |
| 298 | 2021 | 7     | 29  | Lloyd Lane           | Insider trading took place at 06:35. One person witnessed the incident.                                                                                                                                                  |
| 299 | 2021 | 7     | 30  | Humphrey Street      | Littering took place at 17:49. Two people witnessed the event.                                                                                                                                                           |
| 300 | 2021 | 7     | 31  | Zlatkova Street      | Bank robbery took place at 12:24. No known witnesses.                                                                                                                                                                    |
| 301 | 2021 | 8     | 1   | Carvalho Road        | Vandalism took place at 13:52. One person witnessed the incident.                                                                                                                                                        |
+-----+------+-------+-----+----------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
